"Devil Doll"	"0058007"
"The Devil-Doll"	"0027521"
"Devil Fish"	"0088100"
"The Devil Inside"	"1560985"
"The Devil's Backbone"	"0256009"
"The Devil's Carnival"	"2204379"
"Devil's Pass"	"1905040"
"Devil's Prey"	"0245866"
"The Devils"	"0066993"
"Devour"	"0406706"
"The Disappointments Room"	"2364897"
"Disciples of the Crow"	"0352297"
"Disturbia"	"0486822"
"Dog Soldiers"	"0280609"
"Dolls"	"0092906"
"Don't be Afraid of the Dark"	"1270761"
"Don't Go in the House"	"0080646"
"Don't Go in the Woods"	"0182996"
"Don't Look Now"	"0069995"
"Don't Open Till Christmas"	"0089038"
"Don't Torture a Duckling"	"0069019"
"Donnie Darko"	"0246578"
"Doom"	"0419706"
"The Dorm That Dripped Blood"	"0082279"
"Dr. Giggles"	"0104139"
"Dracula (1931)"	"0021814"
"Dracula's Daughter"	"0027545"
"Son of Dracula"	"0036376"
"Dracula (1979)"	"0079073"
"Dracula 2000"	"0219653"
"Drag Me to Hell"	"1127180"
"Dread"	"1331307"
"Dream Home"	"1407972"
"Dream House"	"1462041"
"The Driller Killer"	"0079082"
"Drive-In Massacre"	"0074434"
"Drive Thru"	"0466766"
"Dr. Jekyll and Mr. Hyde (1931)"	"0022835"
"The Drowning Ghost"	"0375100"
"Dying Breed"	"1064744"
"Earth vs. the Spider"	"0282178"
"Easter Bunny, Kill! Kill!"	"0780506"
"Eaten Alive"	"0074455"
"Eden Lake"	"1020530"
"Eight Legged Freaks"	"0271367"
"Elevated"	"0168730"
"Elfie Hopkins: Cannibal Hunter"	"1470022"
"The Entity"	"4689996"
"Equinox"	"0067055"
"Eraserhead"	"0074486"
"Escape from Tomorrow"	"2187884"
"Event Horizon"	"0119081"
"Evidence"	"1828970"
"The Evil"	"0077524"
"Evil Dead"	"1288558"
"The Evil Dead (1981)"	"0083907"
"Evil Dead 2"	"0092991"
"Army of Darkness"	"0106308"
"Evil Dead (2013)"	"1288558"
"Evil Dead Trap"	"0167147"
"Evil Ed"	"0116247"
"Evil Laugh"	"0095120"
"Evilspeak"	"0082346"
"Excision"	"1984153"
"The Exorcism of Emily Rose"	"0404032"
"The Exorcist"	"0070047"
"Exorcist II: The Heretic"	"0076009"
"The Exorcist III"	"0099528"
"Extraterrestrial"	"2960930"
"The Eye"	"0406759"
"Eye of the Devil"	"0061634"
"Eyes of a Stranger"	"0082352"
"Eyes Without a Face"	"0053459"
"The Facts in the Case of Mister Hollow"	"1269377"
"The Faculty"	"0133751"
"Fangs of the Living Dead"	"0062957"
"Faust: Love of the Damned"	"0223268"
"Fear Dot Com"	"0295254"
"Fear No Evil"	"0082367"
"The Fearless Vampire Killers"	"0061655"
"Feast"	"0426459"
"Feeders"	"0183072"
"Fender Bender"	"5131906"
"Fiend Without a Face"	"0050393"
"The Final"	"1390535"
"Final Destination"	"0195714"
"Final Destination"	"0195714"
"Final Destination 2"	"0309593"
"Final Destination 3"	"0414982"
"Final Destination 4"	"1144884"
"Final Destination 5"	"1622979"
"Final Exam"	"0082378"
"The Final Terror"	"0082379"
"The First Power"	"0099578"
"Five Nights at Freddy's"	"4589218"
"Flesh for Frankenstein"	"0071508"
"Flowers in the Attic"	"3074694"
"The Fly"	"0091064"
"The Fly (1958)"	"0051622"
"Return of the Fly"	"0053219"
"Curse of the Fly"	"0059076"
"The Fly II"	"0097368"
"The Fog"	"0432291"
"The Food of the Gods"	"0074540"
"Gnaw: Food of the Gods II"	"0097371"
"Forbidden World"	"0083959"
"Forget Me Not"	"1147684"
"The Forest (1982)"	"0122070"
"The Forest (2016)"	"3387542"
"Forever Evil"	"0093041"
"The Forsaken"	"0245120"
"found."	"2149360"
"Found Footage 3D"	"3449006"
"Four Flies on Grey Velvet"	"0066735"
"The Fourth Kind"	"1220198"
"Frankenfish"	"0384833"
"Frankenhooker"	"0099611"
"Frankenstein (1910)"	"0001223"
"Frankenstein (1931)"	"0021884"
"Bride of Frankenstein"	"0026138"
"Son of Frankenstein"	"0031951"
"The Ghost of Frankenstein"	"0034786"
"Frankenstein Meets the Wolf Man"	"0035899"
"Frankenstein's Army"	"1925435"
"Freaks"	"0022913"
"Freddy vs. Jason"	"0329101"
"Friday the 13th"	"0080761"
"Friday the 13th (1980)"	"0080761"
"Friday the 13th Part 2"	"0082418"
"Friday the 13th Part III"	"0083972"
"Friday the 13th: The Final Chapter"	"0087298"
"Friday the 13th Part V: A New Beginning"	"0089173"
"Friday the 13th Part VI: Jason Lives"	"0091080"
"Friday the 13th Part VII: The New Blood"	"0095179"
"Friday the 13th Part VIII: Jason Takes Manhattan"	"0097388"
"Jason Goes to Hell: The Final Friday"	"0107254"
"Jason X"	"0211443"
"Friday the 13th (2009)"	"0758746"
"Fright Night (1985)"	"0089175"
"Fright Night (2011)"	"1438176"
"The Frighteners"	"0116365"
"Frogs"	"0068615"
"From Beyond"	"0091083"
"From Dusk Till Dawn"	"0116367"
"From Dusk Till Dawn 2: Texas Blood Money"	"0120860"
"From Dusk Till Dawn 3: The Hangman's Daughter"	"0120695"
"Frontier(s)"	"0814685"
"Frostbite"	"1893241"
"Frostbiter: Wrath of the Wendigo"	"0116371"
"Funeral Home"	"0083976"
"The Funhouse"	"0082427"
"Funny Games"	"0808279"
"Funny Man"	"0109858"
"Galaxy of Terror"	"0082431"
"The Gallows"	"2309260"
"Game Of Assassins"	"1067773"
"The Gate"	"0093075"
"Gemini"	"5795086"
"Get Out"	"5052448"
"The Ghost (1963)"	"0057522"
"The Ghost and the Darkness"	"0116409"
"The Ghost Dance"	"0080787"
"Ghost in the Machine"	"4866214"
"Ghost Shark"	"2600742"
"Ghost Ship"	"0288477"
"Ghost Storm"	"1939686"
"Ghost Voyage"	"1144579"
"Ghosts of Mars"	"0228333"
"Ghostwatch"	"0200659"
"Ghoulies"	"0089200"
"Ghoulies II"	"0093091"
"Ghoulies III: Ghoulies Go to College!"	"0097429"
"The Giant Gila Monster"	"0052846"
"The Giant Spider Invasion"	"0073043"
"The Gingerdead Man"	"0364376"
"Ginger Snaps"	"0210070"
"Ginger Snaps 2: Unleashed"	"0353489"
"Ginger Snaps Back: The Beginning"	"0365265"
"The Girl Next Door (2007)"	"0830558"
"Girl House"	"2577172"
"A Girl Walks Home Alone At Night"	"2326554"
"Godzilla (1954)"	"0047034"
"Godzilla Raids Again"	"0048127"
"Shin Godzilla"	"4262980"
"The Golem"	"0011237"
"Goodnight Mommy"	"3086442"
"The Good Son"	"0107034"
"Gore Orphanage"	"3831242"
"Gorgo"	"0054938"
"The Gorgon"	"0058155"
"Goth (2003)"	"0366530"
"Goth (2008)"	"1092006"
"Graduation Day"	"0082467"
"Grave Encounters"	"1703199"
"Grave Encounters 2"	"2231554"
"Grave of the Vampire"	"0068658"
"Graveyard Shift"	"0099697"
"The Green Elephant"	"1003080"
"The Green Inferno"	"2403021"
"Grindhouse"	"0462322"
"Planet Terror"	"1077258"
"Death Proof"	"1028528"
"Grizzly"	"0074593"
"Grizzly Park"	"0915460"
"The Grudge"	"0391198"
"Gutterballs"	"1087853"
"The Hallow"	"2474976"
"Halloween"	"0077651"
"Halloween (1978)"	"0077651"
"Halloween II (1981)"	"0082495"
"Halloween III: Season of the Witch"	"0085636"
"Halloween 4: The Return of Michael Myers"	"0095271"
"Halloween 5: The Revenge of Michael Myers"	"0097474"
"Halloween: The Curse of Michael Myers"	"0113253"
"Halloween: Resurrection"	"0220506"
"Halloween (2007)"	"0373883"
"Halloween II (2009)"	"1311067"
"The Hamiltons"	"0443527"
"The Thompsons"	"1831806"
"Hansel and Gretel (2007)"	"1002567"
"Hansel and Gretel (2013)"	"3675828"
"Hansel vs. Gretel"	"4145350"
"The Happening"	"0949731"
"Happy Birthday to Me"	"0082498"
"Happy Hell Night"	"0236283"
"Harbinger Down"	"3397918"
"Hardware"	"0099740"
"Hatchet"	"0422401"
"Haunted Forest"	"0462517"
"Haunter"	"2345567"
"The Haunting (1963)"	"0057129"
"The Haunting (1999)"	"0171363"
"The Haunting Hour"	"0905994"
"The Haunting of Molly Hartley"	"1045655"
"The Haunting of Whaley House"	"2396701"
"Hausu"	"0076162"
"Häxan"	"0013257"
"He Knows You're Alone"	"0080850"
"Heartless"	"1220214"
"Hell Night"	"0082511"
"Hell of the Living Dead"	"0082559"
"Hellraiser"	"0093177"
"Hellraiser"	"0093177"
"Hellbound: Hellraiser II"	"0095294"
"Hellraiser III: Hell on Earth"	"0104409"
"Hellraiser: Bloodline"	"0116514"
"Hellraiser: Inferno"	"0229440"
"Hellraiser: Hellseeker"	"0274546"
"Hellraiser: Deader"	"0337636"
"Hellraiser: Hellworld"	"0354623"
"Hellraiser: Revelations"	"1716747"
"Henry: Portrait of a Serial Killer"	"0099763"
"Here Alone"	"4814760"
"Hide and Seek"	"0382077"
"The Hideous Sun Demon"	"0052888"
"High Tension"	"0338095"
"The Hills Have Eyes (1977)"	"0077681"
"The Hills Have Eyes Part II"	"0089274"
"The Hills Have Eyes (2006)"	"0454841"
"The Hills Have Eyes 2"	"0800069"
"The Hills Run Red"	"0907676"
"The Hitcher"	"0091209"
"Hive Mind"	"1550506"
"Hold Your Breath"	"2240312"
"Holidays"	"4419364"
"Holocaust 2000"	"0077332"
"Home Movie"	"1267319"
"Home Sweet Home"	"0082522"
"Honeymoon"	"3177316"
"The Horror at 37,000 Feet"	"0068715"
"Horror Express"	"0068713"
"A Horrible Way To Die"	"1617620"
"Horror of Dracula"	"0051554"
"The Brides of Dracula"	"0053677"
"Dracula: Prince of Darkness"	"0059127"
"Dracula Has Risen from the Grave"	"0062909"
"Taste the Blood of Dracula"	"0065073"
"Scars of Dracula"	"0067713"
"Dracula A.D. 1972"	"0068505"
"The Satanic Rites of Dracula"	"0070634"
"The Legend of the 7 Golden Vampires"	"0070297"
"The Horror of Party Beach"	"0058208"
"Horsemen"	"0892767"
"Hospital Massacre"	"0082527"
"The Host"	"0468492"
"Hostel"	"0450278"
"House"	"0091223"
"House II: The Second Story"	"0093220"
"House IV"	"0104449"
"House at the End of the Street"	"1582507"
"The House by the Cemetery"	"0082966"
"House of 1000 Corpses"	"0251736"
"The Devil's Rejects"	"0395584"
"House of Bones"	"1334536"
"House of Frankenstein"	"0036931"
"House of Dracula"	"0037793"
"Abbott and Costello Meet Frankenstein"	"0040068"
"House of the Dead"	"0317676"
"House of the Dead II: Dead Aim"	"0435665"
"The House of the Devil"	"1172994"
"House of the Wolf Man"	"1483768"
"House of Wax (1953)"	"0045888"
"House of Wax (2005)"	"0397065"
"House of Whipcord"	"0071628"
"House on Haunted Hill (1959)"	"0051744"
"House on Haunted Hill (1999)"	"0185371"
"The House on Sorority Row"	"0085694"
"Sorority Row"	"1232783"
"House on the Edge of the Park"	"0080503"
"The House That Drips Blood on Alex"	"1691424"
"Housebound"	"3504048"
"The Houses October Built"	"1958043"
"How to be a Serial Killer"	"1038971"
"Howl"	"2393827"
"The Howling"	"0082533"
"The Human Centipede"	"1467304"
"Humongous"	"0082537"
"The Hunger"	"0085701"
"Hunting Humans"	"0339184"
"Hush"	"5022702"
"I Am The Pretty Thing That Lives In The House"	"5059406"
"I Bought a Vampire Motorcycle"	"0097550"
"Ice Cream Man"	"0113376"
"Idle Hands"	"0138510"
"I Drink Your Blood"	"0067229"
"I Know What You Did Last Summer"	"0119345"
"I Know Who Killed Me"	"0897361"
"Ils"	"0465203"
"I, Monster"	"0068727"
"In the Mouth of Madness"	"0113409"
"The Incredible Melting Man"	"0076191"
"The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?"	"0057181"
"The Indestructible Man"	"0049363"
"Infection"	"0418778"
"Infestation"	"1020543"
"The Innkeepers"	"1594562"
"Innocent Blood"	"0104511"
"The Innocents"	"4370784"
"Inside"	"0856288"
"Insidious"	"1591095"
"Insomnia"	"0278504"
"Intensive Care"	"3221016"
"Intruder"	"3014556"
"Intruders"	"4009278"
"Invasion of the Body Snatchers (1956)"	"0049366"
"Invasion of the Body Snatchers (1978)"	"0077745"
"Body Snatchers"	"0106452"
"The Invasion"	"0427392"
"The Invisible Man"	"0024184"
"The Invisible Man Returns"	"0032635"
"The Invitation"	"0248110"
"I Saw the Devil"	"1588170"
"I Sell the Dead"	"0902290"
"The Island of Doctor Moreau"	"0076210"
"Island of Lost Souls"	"0024188"
"Island of Terror"	"0060548"
"It"	"1396484"
"It"	"1396484"
"It Came from Beneath the Sea"	"0048215"
"It Came from Outer Space"	"0045920"
"It Comes at Night"	"4695012"
"It Conquered the World"	"0049370"
"It Follows"	"3235888"
"It Lives by Night"	"0071198"
"It's Alive"	"0071675"
"It's My Party and I'll Die If I Want To"	"1220890"
"I Walked with a Zombie"	"0036027"
"I Was a Teenage Werewolf"	"0050530"
"Jack Brooks: Monster Slayer"	"0816539"
"Jack Frost"	"0116671"
"Jacob's Ladder"	"0099871"
"Jaws"	"0073195"
"Jaws 2"	"0077766"
"Jaws: The Revenge"	"0093300"
"Jeepers Creepers"	"0263488"
"Jeepers Creepers 2"	"0301470"
"Jennifer's Body"	"1131734"
"Jesus Christ: Vampire Hunter"	"0311361"
"Joshua"	"0808331"
"Journey to the Seventh Planet"	"0056127"
"Joy Ride"	"0206314"
"Joy Ride 2: Dead Ahead"	"1140941"
"Joy Ride 3: Roadkill"	"3138376"
"Juan of the Dead"	"1838571"
"Jug Face"	"2620736"
"Julia's Eyes"	"1512685"
"Ju-on"	"0364385"
"Ju-Rei"	"0445483"
"Just Before Dawn"	"0082592"
"Karla"	"0424938"
"The Keep"	"0085780"
"Kill List"	"1788391"
"Killdozer"	"0071717"
"Killer Klowns from Outer Space"	"0095444"
"Killer Nerd"	"0102209"
"The Killer Shrews"	"0052969"
"The Killing of Satan"	"0085792"
"Kingdom of the Spiders"	"0076271"
"KISS Meets the Phantom of the Park"	"0077788"
"Kiss of the Tarantula"	"0131449"
"Knock Knock (2015)"	"3605418"
"Komodo"	"0172669"
"Konga"	"0055058"
"Krampus"	"3850590"
"Kwaidan"	"0058279"
"Laid to Rest"	"1228933"
"The Lair of the White Worm"	"0095488"
"Lake Bodom"	"3743042"
"Lake Mungo"	"0816556"
"Lake Placid"	"0139414"
"Lake Placid Vs Anaconda"	"4497416"
"The Last Broadcast"	"0122143"
"The Last Exorcism"	"1320244"
"The Last House on the Left"	"0844708"
"The Last Lovecraft: Relic of Cthulhu"	"1522262"
"The Last Man on Earth"	"0058700"
"The Last Shark"	"0081677"
"Last Shift"	"2965466"
"The Last Slumber Party"	"0212302"
"The Last Winter"	"0454864"
"Las Vegas Bloodbath"	"0240670"
"The Leech Woman"	"0054020"
"Left Bank"	"0940723"
"The Legacy"	"0079450"
"The Legend of Boggy Creek"	"0068837"
"Boggy Creek 2: The Legend Continues"	"0088772"
"The Legend of Wasco"	"5047424"
"Leprechaun"	"0107387"
"Leprechaun 2"	"0110329"
"Leprechaun 3"	"0113636"
"Leprechaun 4: In Space"	"0116861"
"Leprechaun in the Hood"	"0209095"
"Leprechaun: Back 2 tha Hood"	"0339294"
"Leprechaun: Origins"	"2345613"
"The Leopard Man"	"0036104"
"Lesbian Vampire Killers"	"1020885"
"Leviathan (1989)"	"0097737"
"Lifeforce"	"0089489"
"Lighthouse"	"0139426"
"Lights Out (2016)"	"4786282"
"Lisa and the Devil"	"0068863"
"Little Sweetheart"	"0095881"
"Livid"	"1727516"
"The Living Dead at Manchester Morgue"	"0071431"
"Night of the Living Dead (1968)"	"0063350"
"Dawn of the Dead (1978)"	"0077402"
"Day of the Dead (1985)"	"0088993"
"Night of the Living Dead (1990)"	"0100258"
"Dawn of the Dead (2004)"	"0363547"
"Land of the Dead"	"0418819"
"Diary of the Dead"	"0848557"
"Day of the Dead (2008)"	"0489018"
"Survival of the Dead"	"1134854"
"The Loch Ness Horror"	"0082669"
"Locusts: The 8th Plague"	"0491661"
"Long Pigs"	"0971204"
"Lord of Illusions"	"0113690"
