"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Due Date"	1231583	100448498	65000000	1.5453615076923077	"2010-11-05"
"Million Dollar Baby"	"0405159"	100422786	30000000	3.3474262	"2005-01-28"
"Shakespeare in Love"	"0138097"	100241322	25000000	4.00965288	"1999-01-08"
"Se7en"	"0114369"	100125340	33000000	3.0341012121212123	"1995-09-22"
"The Hunchback of Notre Dame"	"0116583"	100117603	100000000	1.00117603	"1996-06-21"
"Parenthood"	"0098067"	100050000	31000000	3.22741935483871	"1989-08-02"
"Passengers"	1355644	100014092	110000000	0.9092190181818182	"2016-12-21"
"Collateral"	"0369339"	100003492	65000000	1.5385152615384616	"2004-08-06"
"Public Enemies"	1152836	97030725	100000000	0.97030725	"2009-07-01"
"The Social Network"	1285016	96917897	40000000	2.422947425	"2010-10-01"
"Schindler's List"	"0108052"	96067179	22000000	4.366689954545454	"1994-02-04"
"Dead Poets Society"	"0097165"	95860116	16400000	5.845129024390244	"1989-06-09"
"Zero Dark Thirty"	1790885	95720716	40000000	2.3930179	"2013-01-11"
"Cold Mountain"	"0159365"	95632614	79000000	1.210539417721519	"2003-12-25"
"Michael"	"0117038"	95345070	46000000	2.23472065217	"1996-12-25"
"Sex and the City 2"	1261945	95328937	100000000	0.95328937	"2010-05-27"
"Panic Room"	"0258000"	95308367	48000000	1.9855909791666666	"2002-03-29"
42	"0453562"	95001343	40000000	2.375033575	"2013-04-12"
"Unbreakable"	"0217869"	94999143	75000000	1.26665524	"2000-11-22"
"Flashdance"	"0085549"	94900000	4000000	23.725	"1983-04-15"
"The Book of Eli"	1037705	94822707	80000000	1.1852838375	"2010-01-15"
"10,000 BC"	"0443649"	94770548	105000000	0.9025766476190477	"2008-03-07"
"Beverly Hills Chihuahua"	1014775	94497271	20000000	4.72486355	"2008-10-03"
"Saturday Night Fever"	"0076666"	94213184	3000000	31.404394666666665	"1977-12-16"
"The Color Purple"	"0088939"	94175854	15000000	6.278390266666666	"1986-02-07"
"Julie & Julia"	1135503	94125426	40000000	2.35313565	"2009-08-07"
"He's Just Not That Into You"	1001508	93952276	40000000	2.3488069	"2009-02-06"
"Master and Commander: The Far Side of the World"	"0311113"	93926386	150000000	0.6261759066666667	"2003-11-14"
"Maid in Manhattan"	"0252076"	93815117	55000000	1.7057294	"2002-12-13"
"Flight"	1907668	93749203	31000000	3.0241678387096775	"2012-11-02"
"Lady and the Tramp"	"0048280"	93600000	4000000	23.4	"1955-06-22"
"The Fighter"	"0964517"	93571803	25000000	3.74287212	"2010-12-17"
"The Bucket List"	"0825232"	93452056	45000000	2.0767123555555553	"2008-01-11"
"The Poseidon Adventure"	"0069113"	93300000	5000000	18.66	"1972-12-13"
"Elysium"	1535108	93050117	115000000	0.809131452173913	"2013-08-09"
"Red Dragon"	"0289765"	92930005	78000000	1.1914103205128206	"2002-10-04"
"When Harry Met Sally..."	"0098635"	92823600	16000000	5.801475	"1989-07-21"
"The Town"	"0840361"	92173235	37000000	2.4911685135135135	"2010-09-17"
"The Client"	"0109446"	92115211	45000000	2.047004688888889	"1994-07-20"
"Star Trek: First Contact"	"0117731"	92001027	45000000	2.0444672666666666	"1996-11-22"
"Heaven Is for Real"	1929263	91443253	12000000	7.620271083333333	"2014-04-16"
"Crimson Tide"	"0112740"	91400000	990000	92.32323232323232	"1995-05-12"
"The Imitation Game"	2084970	91121452	14000000	6.508675142857143	"2014-12-25"
"Save the Last Dance"	"0206275"	91038276	13000000	7.0029443076923075	"2001-01-12"
"Stepmom"	"0120686"	91030827	50000000	1.82061654	"1998-12-25"
"The Karate Kid"	"0087538"	90800000	8000000	11.35	"1984-06-22"
"High School Musical 3: Senior Year"	"0962726"	90556401	11000000	8.23240009090909	"2008-10-24"
"Madea Goes to Jail"	1142800	90485233	17500000	5.17058474286	"2009-02-20"
"Mystic River"	"0327056"	90135191	25000000	3.60540764	"2003-10-15"
"Flightplan"	"0408790"	89706988	55000000	1.6310361454545454	"2005-09-23"
"Inside Man"	"0454848"	88504640	45000000	1.9667697777777777	"2006-03-24"
"The Hand That Rocks the Cradle"	"0104389"	88036683	11700000	7.52450282051282	"1992-01-10"
"Miss Peregrine's Home for Peculiar Children"	1935859	87240689	110000000	0.7930971727272728	"2016-09-30"
"Out of Africa"	"0089755"	87100000	31000000	2.8096774193548386	"1985-12-20"
"The Accountant"	2140479	86198014	44000000	1.9590457727272728	"2016-10-14"
"Annie"	1823664	85911262	65000000	1.321711723076923	"2014-12-19"
"Fury"	2713180	85707116	68000000	1.2603987647058823	"2014-10-17"
"Real Steel"	"0433035"	85463309	110000000	0.7769391727272728	"2011-10-07"
"Dangerous Minds"	"0112792"	84919401	23000000	3.6921478695652175	"1995-08-11"
"Crazy, Stupid, Love."	1570728	84244877	50000000	1.68489754	"2011-07-29"
"The X Files"	"0120902"	83892374	66000000	1.2710965757575758	"1998-06-19"
"Up in the Air"	1193138	83813460	25000000	3.3525384	"2009-12-23"
"Steel Magnolias"	"0098384"	83759091	0	0	"1989-11-22"
"Immortals"	1253864	83503161	75000000	1.11337548	"2011-11-11"
"Saving Mr. Banks"	2140373	83299761	35000000	2.3799931714285716	"2013-12-20"
"Valkyrie"	"0985699"	83077470	75000000	1.1076996	"2008-12-25"
"Brokeback Mountain"	"0388795"	83025853	14000000	5.930418071428571	"2006-01-13"
"Disclosure"	"0109635"	83000000	55000000	1.509090909090909	"1994-12-09"
"Days of Thunder"	"0099371"	82670733	60000000	1.37784555	"1990-06-27"
"The Descendants"	1033575	82624961	20000000	4.13124805	"2011-12-09"
"Mr. Holland's Opus"	"0113862"	82528097	23000000	3.5881781304347826	"1996-01-19"
"Bridge to Terabithia"	"0398808"	82234139	17000000	4.837302294117647	"2007-02-16"
"MASH"	"0066026"	81600000	3500000	23.314285714285713	"1970-03"
