"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Jackass 3D"	1116184	117224271	20000000	5.86121355	"2010-10-15"
"S.W.A.T."	"0257076"	116643346	80000000	1.458041825	"2003-08-08"
"Green Lantern"	1133985	116593191	200000000	0.582965955	"2011-06-17"
"The Towering Inferno"	"0072308"	116000000	14000000	8.285714285714286	"1975-01-01"
"Ghost Rider"	"0259324"	115802596	110000000	1.0527508727272727	"2007-02-16"
"District 9"	1136608	115646235	30000000	3.8548745	"2009-08-14"
"The Karate Kid Part II"	"0091326"	115103979	13000000	8.85415223077	"1986-06-20"
"Wild Wild West"	"0120891"	113745408	170000000	0.6690906352941176	"1999-06-30"
"The Patriot"	"0187393"	113330342	110000000	1.0302758363636364	"2000-06-28"
"The Bourne Legacy"	1194173	113165635	125000000	0.90532508	"2012-08-10"
"The Pacifier"	"0395699"	113006880	56000000	2.01798	"2005-03-04"
"Spy Kids"	"0227538"	112692062	35000000	3.2197732	"2001-03-30"
"Ghostbusters II"	"0097428"	112494738	37000000	3.0403983243243244	"1989-06-16"
"Face/Off"	"0119094"	112225777	80000000	1.4028222125	"1997-06-27"
"Spy Kids 3: Game Over"	"0338459"	111760631	38000000	2.941069236842105	"2003-07-25"
"Enemy of the State"	"0120660"	111544445	90000000	1.2393827222222222	"1998-11-20"
"The Last Samurai"	"0325710"	111110575	140000000	0.7936469642857142	"2003-12-05"
"Spy"	3079380	110822419	65000000	1.7049602923076923	"2015-06-05"
"Tropic Thunder"	"0942385"	110416702	92000000	1.2001815434782608	"2008-08-13"
"Crocodile Dundee II"	"0092493"	109306210	14000000	7.807586428571429	"1988-05-25"
"Superman II"	"0081573"	108200000	54000000	2.0037037037037035	"1981-06-19"
"Angry Birds"	1985949	107506776	73000000	1.4726955616438355	"2016-05-20"
"Watchmen"	"0409459"	107503316	130000000	0.8269485846153846	"2009-03-06"
"Batman & Robin"	"0118688"	107285004	125000000	0.858280032	"1997-06-20"
"Miss Congeniality"	"0212346"	106807667	45000000	2.3735037111111112	"2000-12-22"
"GoldenEye"	"0113189"	106635996	60000000	1.7772666	"1995-11-17"
"300: Rise of an Empire"	1253863	106369117	110000000	0.9669919727272728	"2014-03-07"
