"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Child's Play"	"0094862"	33244684	9000000	3.6938537777777776	"1988-11-09"
"The Rite"	1161864	33037754	37000000	0.8929122702702703	"2011-01-28"
"Dracula 2000"	"0219653"	33000377	54000000	0.6111180925925926	"2000-12-22"
"The Last House on the Left"	"0844708"	32721635	15000000	2.1814423333333335	"2009-03-13"
"Friday the 13th: The Final Chapter"	"0087298"	32600000	2600000	12.538461538461538	"1984-04-13"
"Paranormal Activity: The Marked Ones"	2473682	32453345	5000000	6.490669	"2014-01-03"
"Bride of Chucky"	"0144120"	32368960	25000000	1.2947584	"1998-10-16"
"The Lost Boys"	"0093437"	32222567	8500000	3.79089023529	"1987-07-31"
"Darkness Falls"	"0282209"	32131483	11000000	2.9210439090909093	"2003-01-24"
"The Lawnmower Man"	"0104692"	32101000	10000000	3.2101	"1992-03-06"
"House of Wax"	"0397065"	32048809	30000000	1.0682936333333333	"2005-05-06"
"Psycho"	"0054215"	32000000	806947	39.65564033325609	"1960-09-08"
"Psycho II"	"0086154"	32000000	5000000	6.4	"1983-06-03"
"Lake Placid"	"0139414"	31768374	35000000	0.9076678285714286	"1999-07-16"
"Quarantine"	1082868	31691811	12000000	2.64098425	"2008-10-10"
"House at the End of the Street"	1582507	31607598	6900000	4.580811304347826	"2012-09-21"
"From Hell"	"0120681"	31598308	35000000	0.9028088	"2001-10-19"
"Unfriended"	3713166	31537320	1000000	31.53732	"2015-04-17"
"Anacondas: The Hunt for the Blood Orchid"	"0366174"	31526393	25000000	1.26105572	"2004-08-27"
"The Eye"	"0406759"	31397498	12000000	2.616458166666667	"2008-02-01"
"The Mortal Instruments: City of Bones"	1538403	31165421	60000000	0.5194236833333333	"2013-08-21"
"Crimson Peak"	2554274	31056945	55000000	0.5646717272727273	"2015-10-16"
"The Texas Chain Saw Massacre"	"0072271"	30859000	300000	102.86333333333333	"1974-10-04"
"Mirrors"	"0790686"	30691439	35000000	0.8768982571428572	"2008-08-15"
"Predator 2"	"0100403"	30669413	35000000	0.8762689428571429	"1990-11-21"
"Sleepwalkers"	"0105428"	30524763	15000000	2.0349842	"1992-04-10"
"Deliver Us from Evil"	2377322	30523568	30000000	1.0174522666666668	"2014-07-02"
"Open Water"	"0374102"	30500882	120000	254.17401666666666	"2004-08-20"
"Queen of the Damned"	"0238546"	30307804	35000000	0.8659372571428572	"2002-02-22"
"Halloween: Resurrection"	"0220506"	30259652	15000000	2.0173101333333334	"2002-07-12"
"Life"	5442430	30180466	58000000	0.5203528620689655	"2017-03-24"
"Ghost Ship"	"0288477"	30079316	35000000	0.8594090285714285	"2002-10-25"
"A Nightmare on Elm Street 2: Freddy's Revenge"	"0089686"	30000000	3000000	10.0	"1985-11-01"
"Daybreakers"	"0433362"	29975979	20000000	1.49879895	"2010-01-08"
"When the Bough Breaks"	1389139	29703843	10000000	2.9703843	"2016-09-09"
"See full summary"	"0432291"	29511112	18000000	1.6395062222222223	"2005-10-14"
"The Twilight Zone"	"0052520"	29500000	10000000	2.95	"2002-12-07"
"Bless the Child"	"0163983"	29374178	65000000	0.45191043076923076	"2000-08-11"
"Priest"	"0822847"	29136626	60000000	0.4856104333333333	"2011-05-13"
"See full summary"	"0204626"	28927720	30000000	0.9642573333333333	"2000-09-08"
"28 Weeks Later"	"0463854"	28637507	15000000	1.9091671333333333	"2007-05-11"
"The Uninvited"	"0815245"	28573173	0	0	"2009-01-30"
"Child's Play 2"	"0099253"	28501605	13000000	2.192431153846154	"1990-11-09"
"Doom"	"0419706"	28031250	60000000	0.4671875	"2005-10-21"
"Rings"	"0498381"	27766716	25000000	1.11066864	"2017-02-03"
"Sinister 2"	2752772	27736779	10000000	2.7736779	"2015-08-21"
"Oculus"	2388715	27689474	5000000	5.5378948	"2014-04-11"
"Saw VI"	1233227	27669413	11000000	2.5154011818181816	"2009-10-23"
"The Island of Dr. Moreau"	"0116654"	27663982	40000000	0.69159955	"1996-08-23"
"One Missed Call"	"0479968"	26876529	27000000	0.995427	"2008-01-04"
"Resident Evil: The Final Chapter"	2592614	26844692	40000000	0.6711173	"2017-01-27"
"Event Horizon"	"0119081"	26616590	60000000	0.4436098333333333	"1997-08-15"
"The Forest"	3387542	26583369	10000000	2.6583369	"2016-01-08"
"An American Werewolf in Paris"	"0118604"	26521435	22000000	1.2055197727272726	"1997-12-25"
"A Nightmare on Elm Street"	"0087800"	26505000	1800000	14.725	"1984-11-16"
"The Woman in Black 2: Angel of Death"	2339741	26496583	15000000	1.7664388666666666	"2015-01-02"
"The Blair Witch Project"	"0185937"	26421314	60000	440.35523333333333	"1999-07-30"
"Jacob's Ladder"	"0099871"	26118851	25000000	1.04475404	"1990-11-02"
"The Exorcist III"	"0099528"	26098824	11000000	2.37262036364	"1990-08-17"
"The Descent"	"0435625"	26005908	3500000	7.43025942857	"2006-08-04"
"Shutter"	"0482599"	25926543	8000000	3.240817875	"2008-03-21"
"The Lazarus Effect"	2918436	25799043	3300000	7.817891818181818	"2015-02-27"
"Candyman"	"0103919"	25792310	6000000	4.298718333333333	"1992-10-16"
"From Dusk Till Dawn"	"0116367"	25753840	19000000	1.3554652631578947	"1996-01-19"
"The Mist"	"0884328"	25592632	18000000	1.4218128888888888	"2007-11-21"
"Halloween II"	"0082495"	25500000	2500000	10.2	"1981-10-30"
"Dark Water"	"0382628"	25472967	30000000	0.8490989	"2005-07-08"
"Mimic"	"0119675"	25454187	30000000	0.8484729	"1997-08-22"
"The VVitch: A New-England Folktale"	4263482	25138292	3500000	7.182369142857143	"2016-02-19"
"The Reaping"	"0444682"	25117498	40000000	0.62793745	"2007-04-05"
"Grindhouse"	"0462322"	25031037	53000000	0.4722837169811321	"2007-04-06"
"Piranha 3D"	"0464154"	25003072	24000000	1.0417946666666666	"2010-08-20"
"Altered States"	"0080360"	25000000	15000000	1.66666666667	"1980-12-25"
"The Craft"	"0115963"	24881000	15000000	1.6587333333333334	"1996-05-03"
"The People Under the Stairs"	"0105121"	24204154	6000000	4.0340256666666665	"1991-11-01"
"Don't Be Afraid of the Dark"	1270761	24042490	25000000	0.9616996	"2011-08-26"
"House of Wax"	"0045888"	23750000	658000	36.09422492401216	"1953-04-25"
"The Wicker Man"	"0450345"	23643531	40000000	0.591088275	"2006-09-01"
"The Covenant"	"0475944"	23292105	20000000	1.16460525	"2006-09-08"
"Stay Alive"	"0441796"	23078294	9000000	2.5642548888888888	"2006-03-24"
"Beloved"	"0120603"	22843047	80000000	0.2855380875	"1998-10-16"
"The Gallows"	2309260	22757819	100000	227.57819	"2015-07-10"
"The First Power"	"0099578"	22424195	10000000	2.2424195	"1990-04-06"
"The Bye Bye Man"	4030600	22377458	7400000	3.023980810810811	"2017-01-13"
